trial #,time1,InterStim,reaction time,distance
1,1510536,743304,237324,3
2,4526752,626092,224904,2
3,7524848,1009788,124936,3
4,10523896,726684,171144,3
5,0,0,0,1
6,16522048,442748,219528,3
7,0,0,0,1
8,0,0,0,1
9,22519248,509924,256008,1
10,25518092,476584,195208,2
11,28516848,526940,371592,3
12,31515480,560312,170508,2
13,0,0,0,3
14,37513832,825828,145672,3
15,40511864,443692,285960,2
16,43510552,610308,209416,3
17,46509672,593076,246536,2
18,49508184,743788,257672,2
19,52507240,909556,188296,3
20,55505808,1010156,173208,1
21,58538656,543088,317964,3
22,61503920,826556,183688,1
23,64502496,793660,152968,1
24,67501792,526580,257416,3
25,70500240,726924,190600,3
26,73499240,793660,173064,2
27,76498112,860404,142344,3
28,79497104,460324,225928,1
29,82495744,576572,145800,3
30,85494376,560676,175496,1
31,88493432,543324,210440,3
32,0,0,0,3
33,94491544,659452,198024,3
34,97489992,609828,210440,2
35,100488568,843416,103692,2
36,103487500,593800,197384,1
37,106486796,659704,180752,1
38,109485488,643076,246152,2
39,112484488,926180,74504,3
40,115482636,626936,195984,2
41,118482224,859692,150536,3
42,121480448,460316,227080,1
43,124479440,927028,24848,1
44,127478312,909800,149900,2
45,130477000,810300,199824,2
46,133475824,660180,190856,1
47,136474816,760052,59528,3
48,139473680,1010044,3084,1
49,142472448,576932,353032,3
50,0,0,0,2
51,148470640,659196,186248,1
52,151468888,560188,192136,1
53,154484496,826684,188680,1
54,157466636,1026656,217864,2
55,160465512,593564,323344,1
56,163464504,542724,273544,3
57,166463440,676204,194824,3
,1
59,172460640,1009796,71688,1
60,175459640,843300,168968,1
61,178458096,993644,195976,3
62,181457632,893052,190472,3
63,184456264,942924,21128,1
64,187455016,843060,97544,1
65,190453824,926308,44936,1
66,193452768,959548,159112,2
67,196468328,559468,214792,1
68,199450456,476220,216200,3
69,202449032,893292,57120,1
70,205464768,793060,131464,3
71,208447136,642716,208136,2
72,211462216,626932,214280,2
73,214460552,876788,122648,1
74,217460024,409724,217096,2
75,220458896,759572,176264,3
76,223441152,743548,101912,1
77,226440024,626092,179600,1
78,0,0,0,2
79,232437848,709316,151816,2
80,235453208,576340,226312,3
81,238452144,626812,175240,1
82,241434096,509836,230040,2
83,244449656,792940,44936,1
84,247448104,593204,193672,3
85,250430176,510676,185608,1
86,253429352,493092,241672,2
87,0,0,0,2
88,259444336,741972,55944,1
89,0,0,0,1
90,265442128,892460,188952,3
91,268423120,976780,1036,1
92,271439104,576452,236040,1
93,274438336,626212,189832,3
94,277437088,542844,224776,3
95,280435960,926068,166664,1
96,283418032,709340,224136,2
97,286433352,592964,202504,1
98,289415600,709700,192544,3
99,292430792,843428,181512,1
100,295412568,877508,196744,3
